bname,btype,ra,dec,catalogue,nt,nb,z,fieldsize,countingmag,bgb,bgb_err
BZUJ1618+2159,uncertain,244.69971,21.99042,bzcat,21,16,0.336,77.7296059771,-19.1837,107.409940595,121.596402356
BZUJ0113+0222,uncertain,18.42975,2.37147,bzcat,559,742,0.047,520.336162929,-19.1837,-3450.82261845,-714.820350399
095929.88+212321.0,bllac,149.874526978,21.3891792297,plotkin,10,12,0.365,72.0575648915,-19.254241052,-45.7338089848,-107.935664881
BZQJ1823+7938,fsrq,275.80879,79.64694,bzcat,28,20,0.224,113.547559721,-19.1837,125.884355713,101.734888954
130531.25+385521.9,bllac,196.380233765,38.9227714539,plotkin,34,17,0.376,70.1369151875,-19.3303345342,408.595853214,162.534527861
BZBJ0832+3300,bllac,128.21438,33.00303,bzcat,2,2,0.672,42.2596111305,-20.8535295594,0.0,0.0
BZQJ1801+4404,fsrq,270.38463,44.07275,bzcat,3,3,0.663,42.735399344,-20.8174980844,0.0,0.0
BZUJ0014+0854,uncertain,3.58217,8.90056,bzcat,89,72,0.162,154.79698865,-19.1837,270.768699197,187.567009261
BZQJ0953+1720,fsrq,148.49679,17.34908,bzcat,1,1,0.711,40.3398815692,-21.004552673,0.0,0.0
BZQJ1105-1813,fsrq,166.33,-18.22028,bzcat,4,1,0.578,47.9755728769,-20.4524098476,144.482579011,104.299121835
BZBJ0924+5300,bllac,141.02425,53.00942,bzcat,6,3,0.64,44.0133762573,-20.7232714864,177.368792837,167.954917094
BZBJ2145+0719,bllac,326.46792,7.32422,bzcat,33,20,0.237,107.643525172,-19.1837,207.237675296,109.055679013
J151526.7+593453.3,fsrq,228.86125,59.5814722222,chen,6,3,0.622,45.0808102691,-20.6472713422,165.50129529,156.71728879
BZUJ0820+4853,uncertain,125.11717,48.8965,bzcat,105,77,0.133,187.332097616,-19.1837,581.83246419,261.304599219
095549.67+101429.5,bllac,148.957000732,10.2415504456,plotkin,8,8,0.373,70.6493891002,-19.3097863129,0.0,0.0
105950.85+434315.3,bllac,164.961898804,43.7209205627,plotkin,11,11,0.459,58.6393058228,-19.846308032,0.0,0.0
BZBJ0422+1950,bllac,65.57637,19.84883,bzcat,0,0,0.516,52.9084831337,-20.1528451019,0.0,0.0
115210.70+283721.3,bllac,178.044616699,28.6226005554,plotkin,14,11,0.441,60.7612058744,-19.7421636919,74.763949488,115.796998334
123528.85+170036.6,bllac,188.870254517,17.0101795197,plotkin,23,17,0.381,69.3008893139,-19.3642500606,147.511198844,144.885903667
BZBJ0909+2311,bllac,137.25258,23.18692,bzcat,29,34,0.223,114.03034889,-19.1837,-78.5986661932,-124.235628617
083743.98+175920.4,bllac,129.433258057,17.9890193939,plotkin,27,15,0.313,82.9819353406,-19.1837,252.336100213,128.511929408
BZBJ0123-2310,candidate,20.90979,-23.18317,bzcat,0,0,0.404,65.7242661349,-19.5151825205,0.0,0.0
BZQJ1606+2032,fsrq,241.52388,20.53592,bzcat,13,8,0.383,68.9726555789,-19.3777018294,124.043582082,106.76398755
163124.70+421702.3,bllac,247.852935791,42.2840003967,plotkin,9,4,0.467,57.7493933219,-19.8913891372,139.286049181,95.5303296586
134105.10+395945.4,bllac,205.271270752,39.9959487915,plotkin,93,91,0.172,146.126445563,-19.1837,32.1926672132,200.90777924
082051.20+235345.2,bllac,125.213340759,23.8959007263,plotkin,16,8,0.402,66.0188656637,-19.5023754812,168.715925866,97.8334178554
