Object Name,RA(deg),DEC(deg),Redshift
SDSS J103507.64+072338.5,158.78184,7.39403,1.0591
SDSS J103510.81+374929.0,158.79506,37.82475,0.571
SDSS J103601.11+084948.4,159.00467,8.83012,3.682631
2MASS J10364036+1233389,159.16817,12.56075,2.145
SDSS J103729.78+170149.4,159.3741,17.0304,0.622
SDSS J103736.09+342730.8,159.40038,34.45857,1.50464
WISE J103744.30+571155.7,159.43462,57.19879,0.83037
SDSS J103806.71+382626.5,159.52799,38.4407,1.37803
SDSS J103845.88+392735.0,159.69124,39.45975,0.382
SDSS J103852.18+325651.6,159.71743,32.94767,0.321037
2MASS J10402901+0947544,160.12089,9.7984,0.303549
2MASS J10412563+1324586,160.3568,13.41625,0.375
B3 1038+392,160.45479,39.02219,0.2084
SDSS J104255.44+151314.9,160.73103,15.22083,0.307
FBQS J104309.0+240835,160.78765,24.14317,0.563446
SDSS J104323.88+065310.1,160.84952,6.88615,0.720435
SDSS J104516.30+275133.4,161.31794,27.85929,2.145
2MASS J10485762+5009453,162.24006,50.1626,0.402636
2MASS J10512539+3943251,162.85577,39.72381,0.498
WISE J105344.13+492956.1,163.43387,49.49889,0.140421
WISE J105430.63+221055.0,163.6276,22.18191,2.055
FBQS J105431.8+385521,163.6329,38.9227,1.371579
SDSS J105451.49+162607.3,163.71457,16.43538,0.504854
2MASS J10553863+3052510,163.91093,30.88076,0.242722
2MASS J10560659+0252135,164.02753,2.87042,0.236126
FBQS J105723.1+230318,164.34625,23.05522,0.378298
SDSS J105752.79-005908.3,164.46997,-0.98567,0.467648
B3 1055+433,164.51217,43.0782,0.415
[HB89] 1055+018,164.62336,1.56634,0.89
FBQS J105829.8+281746,164.62456,28.29617,0.415
WISE J105837.73+562811.3,164.6572,56.46978,0.143304
2MASS J10595087+4343147,164.96191,43.72092,0.459
FBQS J110021.0+401927,165.08786,40.32435,0.225
2MASS J11012472+4108477,165.35302,41.14649,2.065
2MASS J11022294+3801225,165.59572,38.02297,0.391641
2MASS J11035613+0022362,165.98397,0.37674,0.27471
WISE J110424.07+073053.3,166.1003,7.51477,0.630348
SDSS J110704.78+501037.9,166.76992,50.17721,0.705406
WISE J110735.91+022224.5,166.89965,2.37349,1.08213
2MASS J11074808+1502105,166.95029,15.03627,0.602
SDSS J110839.62+532721.3,167.16511,53.45594,0.87817
SDSS J110844.76+261532.7,167.18652,26.2591,0.435
FBQS J110916.1+241120,167.31717,24.189,0.482297
2MASS J11093849+3736113,167.41045,37.60325,0.397422
FBQS J111056.8+353907,167.73682,35.65202,0.435
SDSS J111057.19+170455.7,167.73833,17.08215,0.445
SDSS J111105.54+283843.4,167.77308,28.64539,1.10203
SDSS J111109.10+384856.7,167.78795,38.81578,
SDSS J111130.90+345203.3,167.87876,34.8676,0.212
SDSS J111207.94+260803.7,168.03313,26.13436,0.449855
SDSS J111224.60+175121.8,168.10253,17.85606,0.421
SDSS J111316.48+285905.6,168.31869,28.98491,
SDSS J111401.30+222211.4,168.50546,22.36987,2.121
SDSS J111457.94+593532.0,168.74145,59.59225,1.590965
SDSS J111642.81+420324.9,169.1784,42.05694,2.526929
WISE J111706.26+201407.5,169.27608,20.23539,0.1392
SDSS J111717.53+000633.5,169.32308,0.10935,0.451362
FBQS J111740.4+254846,169.41832,25.81294,0.360029
2MASS J11175720+5355545,169.48851,53.93193,0.72
