id , Source name , aro-aox-arx
494 , "5BZGJ0313+4115 " , 1.969
495 , "5BZQJ0314-6548 " , 1.223
496 , "5BZBJ0314+0619 " , 1.085
497 , "5BZBJ0314-5104 " , -9.9
498 , "5BZBJ0315-1656 " , -9.9
499 , "5BZQJ0315-2939 " , -9.9
500 , "5BZQJ0315-1031 " , 1.312
501 , "5BZBJ0316+0904 " , 1.376
502 , "5BZBJ0316-6437 " , 1.269
503 , "5BZBJ0316-2607 " , 1.178
504 , "5BZBJ0316-2216 " , 1.149
505 , "5BZQJ0317-2803 " , -9.9
506 , "5BZUJ0317+0248 " , -9.9
507 , "5BZQJ0319-1613 " , -9.9
508 , "5BZUJ0319+4130 " , -9.9
509 , "5BZGJ0319+1901 " , -9.9
510 , "5BZGJ0319+1845 " , 0.937
511 , "5BZQJ0320-3837 " , -9.9
512 , "5BZGJ0320-7500 " , -9.9
513 , "5BZQJ0321-3122 " , -9.9
514 , "5BZQJ0321-0526 " , 1.331
515 , "5BZBJ0321+2336 " , 1.628
516 , "5BZQJ0322-5205 " , 1.165
517 , "5BZQJ0322-5042 " , 1.159
518 , "5BZQJ0322-1335 " , 0.961
519 , "5BZBJ0323-0111 " , 1.569
520 , "5BZBJ0323+0717 " , 1.052
521 , "5BZBJ0323-0108 " , 0.879
522 , "5BZUJ0324+3410 " , 1.904
523 , "5BZQJ0324-2918 " , 1.402
524 , "5BZQJ0325-2140 " , 1.349
525 , "5BZQJ0325-2415 " , -9.9
526 , "5BZQJ0325-5629 " , 1.478
527 , "5BZQJ0325+2224 " , 0.95
528 , "5BZBJ0325-1646 " , 0.955
529 , "5BZBJ0326+0225 " , 1.238
530 , "5BZQJ0326-3243 " , -9.9
531 , "5BZQJ0326-5337 " , 1.452
532 , "5BZQJ0327+0044 " , -9.9
533 , "5BZQJ0327-2202 " , -9.9
534 , "5BZUJ0329+3510 " , 1.756
535 , "5BZQJ0329-2357 " , -9.9
536 , "5BZQJ0331-2524 " , -9.9
537 , "5BZUJ0332-1119 " , 1.601
538 , "5BZQJ0332-7249 " , -9.9
539 , "5BZQJ0332-4455 " , 1.489
540 , "5BZBJ0333-3619 " , 1.17
541 , "5BZBJ0333+2916 " , 2.028
542 , "5BZBJ0333+6536 " , 1.817
