bname,other_name,ra,dec,z,rmag,btype,flux_1400MHz,flux_143GHz,flux_xray,flux_fermi,aro,aox,arx,catalog
5BZQJ1332-0509,PKS 1329-049,13 32 04.45,-05 09 43.3,2.15,18.4,fsrq,527.0,1396,0.29,5.0E-9,0.721,1.228,0.92,bzcat
5BZQJ1332-1256,CRATESJ133239-12,13 32 39.24,-12 56 15.28,1.498,18.7,fsrq,127.0,0,0.09,3.5E-9,0.63,1.412,0.946,bzcat
5BZQJ1332+4722,GB 1330+47.6,13 32 45.24,+47 22 22.69,0.668,17.4,fsrq,233.0,0,0.26,3.0E-10,0.592,1.452,0.906,bzcat
5BZQJ1333+2725,GB6J1333+2725,13 33 07.49,+27 25 18.4,2.126,20.4,fsrq,218.0,344,0.0,4.0E-10,0.81,-9.9,-9.9,bzcat
5BZQJ1333-3324,1WGAJ1333.1-3323,13 33 08.72,-33 24 40.28,2.24,18.7,fsrq,183.0,0,0.07,0.0,0.648,1.426,0.931,bzcat
5BZBJ1333-1436,HM 1330-14,13 33 23.95,-14 36 21.7,0.0,20.4,bllac,819.0,0,0.0,0.0,0.863,-9.9,-9.9,bzcat
5BZBJ1333+6235,SDSSJ133325.9+62,13 33 25.98,+62 35 41.89,0.0,19.7,bllac,7.0,0,0.14,0.0,0.522,1.074,0.709,bzcat
5BZQJ1333+1649,PB 3977,13 33 35.77,+16 49 04.0,2.084,16.1,fsrq,391.0,0,0.64,0.0,0.519,1.453,0.89,bzcat
5BZUJ1333+5057,GB6J1333+5057,13 33 53.77,+50 57 36.0,1.362,19.6,uncertain,54.0,0,0.08,1.0E-9,0.543,1.376,0.867,bzcat
5BZQJ1334+5631,BZQJ1334+5631,13 34 37.49,+56 31 47.89,0.343,18.3,fsrq,180.0,0,0.39,0.0,0.584,1.274,0.819,bzcat
5BZQJ1335+4542,S4 1333+459,13 35 21.96,+45 42 38.19,2.452,18.0,fsrq,251.0,0,0.32,0.0,0.627,1.269,0.932,bzcat
5BZBJ1335-0511,PKSB1333-049,13 35 56.47,-05 11 41.71,0.0,21.8,uncertain,398.0,0,0.0,0.0,0.915,-9.9,-9.9,bzcat
5BZBJ1336+2105,SDSSJ133605.59+2,13 36 05.58,+21 05 26.41,0.0,19.7,bllac,5.0,0,0.0,0.0,0.493,-9.9,-9.9,bzcat
5BZGJ1336-0829,IRASF13334-0814,13 36 08.26,-08 29 51.79,0.023,8.1,bllac_gal,239.0,505,0.16,0.0,-0.127,3.072,0.96,bzcat
5BZBJ1336+2319,1RXSJ133611.7+23,13 36 12.16,+23 19 58.0,0.267,18.3,bllac,14.0,0,0.7,0.0,0.463,1.009,0.658,bzcat
5BZQJ1337-1319,1WGAJ1337.2-1319,13 37 14.76,-13 19 18.08,3.475,19.1,fsrq,114.0,0,0.29,1.8E-9,0.625,1.147,0.813,bzcat
5BZQJ1337+6532,GB6J1337+6532,13 37 16.06,+65 32 46.28,0.946,19.3,fsrq,211.0,0,0.0,0.0,0.699,-9.9,-9.9,bzcat
5BZBJ1337+0035,PKS1334+008,13 37 31.37,+00 35 29.0,0.299,18.3,bllac,134.0,0,0.24,0.0,0.665,1.186,0.854,bzcat
5BZQJ1337-1257,PKS1335-127,13 37 39.77,-12 57 24.69,0.539,17.8,fsrq,2676.0,2772,1.77,1.8E-9,0.808,1.096,0.919,bzcat
5BZQJ1337+5501,S4 1335+55,13 37 49.63,+55 01 02.09,1.099,17.9,fsrq,707.0,0,0.19,0.0,0.714,1.402,0.97,bzcat
5BZBJ1338+1153,GB6B1336+1208,13 38 59.05,+11 53 16.69,0.0,17.8,bllac,16.0,0,0.39,9.0E-10,0.442,1.406,0.769,bzcat
5BZBJ1339+0800,BZBJ1339+0800,13 39 10.79,+08 00 24.51,0.0,19.2,bllac,13.0,0,0.0,0.0,0.476,-9.9,-9.9,bzcat
5BZQJ1340-0137,PKS 1337-013,13 40 04.61,-01 37 46.48,1.62,18.8,fsrq,175.0,0,0.0,0.0,0.677,-9.9,-9.9,bzcat
5BZBJ1340+4410,1RXSJ134029.9+44,13 40 29.8,+44 10 04.0,0.546,18.7,bllac,57.0,0,2.3,4.0E-10,0.495,0.925,0.652,bzcat
5BZBJ1340-0148,2QZJ134037.5-014,13 40 37.59,-01 48 47.7,0.513,19.9,bllac,10.0,0,0.0,0.0,0.554,-9.9,-9.9,bzcat
5BZGJ1341+3959,RXJ13410+3959,13 41 05.1,+39 59 45.38,0.172,17.5,bllac_gal,41.0,0,5.15,0.0,0.377,1.04,0.609,bzcat
5BZQJ1341+2816,GB6J1341+2816,13 41 15.28,+28 16 05.08,1.275,19.9,fsrq,119.0,0,0.23,0.0,0.728,1.059,0.878,bzcat
5BZBJ1341+5514,1WGAJ1341.5+5514,13 41 36.23,+55 14 38.0,0.207,17.8,bllac,37.0,0,0.73,0.0,0.52,1.081,0.719,bzcat
5BZGJ1341+3716,GB6B1339+3732,13 41 38.66,+37 16 44.9,0.175,16.7,bllac_gal,116.0,0,0.0,0.0,0.386,-9.9,-9.9,bzcat
5BZBJ1341+1905,SDSSJ134145.08+1,13 41 45.09,+19 05 36.7,0.0,19.7,bllac,11.0,0,0.0,0.0,0.561,-9.9,-9.9,bzcat
5BZQJ1342-2051,PKS 1339-206,13 42 04.73,-20 51 29.48,1.582,18.3,fsrq,399.0,558,0.47,5.0E-10,0.665,1.216,0.865,bzcat
5BZQJ1342-3240,CGRaBSJ1342-3240,13 42 06.19,-32 40 47.49,0.791,19.7,fsrq,288.0,0,0.0,0.0,0.765,-9.9,-9.9,bzcat
5BZQJ1342+2709,RRS IV 4,13 42 08.38,+27 09 30.6,1.185,17.7,fsrq,263.0,0,0.34,0.0,0.619,1.335,0.893,bzcat
5BZQJ1342-2900,PKS 1339-287,13 42 15.34,-29 00 41.79,1.442,19.2,fsrq,306.0,0,0.0,0.0,0.737,-9.9,-9.9,bzcat
