id , Source name , Other name , RA (J2000.0) , Dec (J2000.0) , LII , BII , Redshift , Rmag , Source classification , Flux density 1.4/0.843GHz(mJy) , Flux density143GHz(mJy) , X-ray flux0.1-2.4 keV(1.e-12 cgs) , Comment on redshift , Comment on rmag , Commenton radio flux , Fermi flux1-100 GeV(ph/cm2/s) , aro-aox-arx
84 , "5BZQJ0030-4224 " , "PKS 0027-426 " , "00 30 17.48" , "-42 24 46.4" , "317.32" , "-74.13" , 0.495 , 18.2 , 7211 , 425 , 0 , 0.46 , ". " , " " , " " , 1e-9 , 0.687
85 , "5BZQJ0031-3922 " , "PKS0028-396 " , "00 31 24.32" , "-39 22 49.4" , "320.46" , "-77.06" , 1.298 , 19.8 , 7211 , 137 , 0 , 0 , ". " , " " , " " , 0 , 0.719
86 , "5BZQJ0031-4108 " , "PKS 0029-414 " , "00 31 28.04" , "-41 08 15.68" , "318" , "-75.41" , 0.896 , 18.2 , 7211 , 353 , 0 , 0.29 , ". " , " " , " " , 0 , 0.668
87 , "5BZQJ0032-2649 " , "1WGAJ0032.5-2648" , "00 32 33.0" , "-26 49 18.19" , "36.04" , "-85.79" , 1.47 , 18.4 , 7211 , 135 , 0 , 0.15 , ". " , " " , " " , 0 , 0.589
88 , "5BZBJ0032-2849 " , "1WGAJ0032.5-2849" , "00 32 33.06" , "-28 49 20.31" , "9.74" , "-85.51" , 0.324 , 16.2 , 7300 , 160 , 0 , 0.17 , ". " , " " , " " , 0 , 0.401
89 , "5BZBJ0033-1921 " , "SHBLJ003334.6-19" , "00 33 34.36" , "-19 21 32.9" , "94.17" , "-81.22" , 0 , 16.3 , 7300 , 19 , 0 , 8.43 , ". " , " " , " " , 3.1e-9 , 0.221
90 , "5BZQJ0034+2754 " , "B2.2 0032+27 " , "00 34 43.49" , "+27 54 25.7" , "118.43" , "-34.82" , 2.964 , 18.4 , 7211 , 828 , 0 , 0 , ". " , " " , " " , 0 , 0.746
91 , "5BZBJ0035+1515 " , "1RXSJ003514.9+15" , "00 35 14.7" , "+15 15 04.21" , "117.15" , "-47.44" , 0 , 16.8 , 7300 , 18 , 0 , 3.02 , ". " , " " , " " , 1.1e-9 , 0.249
92 , "5BZBJ0035+5950 " , "1ES0033+595 " , "00 35 52.62" , "+59 50 04.3" , "120.97" , "-2.98" , 0 , 17.2 , 7300 , 147 , 0 , 5.41 , ". " , " " , " " , 2.4e-9 , 0.284
93 , "5BZQJ0036-0932 " , "FIRSTJ00361-0932" , "00 36 06.95" , "-09 32 29.61" , "110.59" , "-72.05" , 1.182 , 18.8 , 7211 , 108 , 0 , 0 , ". " , " " , " " , 0 , 0.614
94 , "5BZQJ0037-2145 " , "PKS 0034-220 " , "00 37 14.82" , "-21 45 24.69" , "91.17" , "-83.74" , 2.513 , 19.6 , 7211 , 161 , 0 , 0 , ". " , " " , " " , 0 , 0.714
95 , "5BZBJ0037+2141 " , "GB6J0037+2142 " , "00 37 23.53" , "+21 41 53.3" , "118.6" , "-41.06" , 0.598 , 20.9 , 7390 , 18 , 0 , 0 , ". " , " " , " " , 0 , 0.678
96 , "5BZBJ0037+1238 " , "PGC1413300 " , "00 37 50.87" , "+12 38 20.0" , "117.76" , "-50.1" , 0 , 16 , 7300 , 75 , 0 , 0.33 , ". " , " " , " " , 1.1e-9 , 0.253
97 , "5BZBJ0038+0013 " , "SDSSJ00381+0013 " , "00 38 08.48" , "+00 13 36.58" , "115.72" , "-62.46" , 0.74 , 19.3 , 7300 , 96 , 0 , 0 , " ? " , " " , " " , 4e-10 , 0.586
98 , "5BZQJ0038-2459 " , "PKS 0035-252 " , "00 38 14.72" , "-24 59 02.18" , "68.11" , "-86.35" , 0.498 , 19.1 , 7211 , 413 , 508 , 1.37 , ". " , " " , " " , 8e-10 , 0.761
99 , "5BZQJ0038-0329 " , "1RXSJ003820.3-03" , "00 38 20.79" , "-03 29 58.81" , "114.82" , "-66.17" , 1.858 , 17.2 , 7211 , 225 , 0 , 0.51 , ". " , " " , " " , 0 , 0.555
100 , "5BZQJ0038+4137 " , "S4 0035+41 " , "00 38 24.84" , "+41 37 06.31" , "120.32" , "-21.19" , 1.353 , 20.3 , 7211 , 692 , 0 , 0.34 , ". " , " " , " " , 0 , 0.893
101 , "5BZQJ0038+1856 " , "GB6J0038+1856 " , "00 38 28.87" , "+18 56 17.7" , "118.68" , "-43.83" , 1.193 , 19.5 , 7211 , 72 , 0 , 0 , ". " , " " , " " , 0 , 0.64
102 , "5BZQJ0039-0942 " , "TEX0036-099 " , "00 39 06.28" , "-09 42 46.79" , "112.86" , "-72.35" , 2.102 , 20.7 , 7211 , 154 , 0 , 0 , ". " , " " , " " , 0 , 0.804
103 , "5BZQJ0039-1111 " , "TEX0037-114 " , "00 39 31.57" , "-11 11 02.39" , "112.4" , "-73.81" , 0.552 , 19 , 7211 , 309 , 0 , 0.59 , ". " , " " , " " , 0 , 0.71
104 , "5BZBJ0039+1411 " , "GB6J0039+1412 " , "00 39 39.6" , "+14 11 57.51" , "118.61" , "-48.58" , 1.738 , 19.8 , 7390 , 266 , 0 , 0 , " ? " , " " , " " , 0 , 0.688
105 , "5BZUJ0040+4050 " , "1ES0037+405N " , "00 40 13.8" , "+40 50 04.7" , "120.64" , "-21.99" , 0 , 19.9 , 7900 , 47 , 0 , 1.05 , ". " , " " , " " , 0 , 0.53
106 , "5BZBJ0040-2719 " , "RXSJ00402-2719 " , "00 40 16.4" , "-27 19 11.6" , "27.91" , "-87.52" , 0.172 , 18 , 7300 , 160 , 0 , 2.82 , ". " , " " , " " , 0 , 0.65
